Variação (pp),Taxa de Declínio (%),VPL (US$),TIR (%)
-3,2,73261953.64403081,38.62712552745376
-1,4,65648400.55597447,37.6304724603114
0,5,62159944.32844778,37.131849852552925
2,7,55756186.42482971,36.14794406047347
5,10,47415203.39686671,34.68959205809685
