Variação (%),Preço (US$/barril),VPL (US$),TIR (%)
-30,49.0,18536195.41915102,20.321577737032637
-20,56.0,33241852.004988037,26.325879658133605
-10,63.0,47771557.14886077,31.896592010745472
0,70.0,62159944.32844778,37.131849852552925
10,77.0,76548331.50803481,42.18542311648404
20,84.0,90936718.68762183,47.09372449241034
30,91.0,105325105.86720884,51.8880262253783
